slang,translationID
gue,saya
lu,kamu
gokil,gila / keren banget
baper,bawa perasaan
kepo,ingin tahu urusan orang lain
aamiin,amin
adek,adik
adlh,adalah
aer,air
aiskrim,es krim
aj,saja
aja,saja
ajah,saja
ajalah,saja
aje,saja
ajh,saja
ajj,saja
aku,saya
ak,saya
akoh,saya
akutu,saya
aq,saya
alesan,alasan
ama,sama
amaca,ah masa
amuh,kamu
ancur,hancur
ane,saya
anget,hangat
anjeng,anjing
ank,anak
apah,apa
aph,apa
apo,apa
apose,apa
apz,apa
artine,artinya
asek,asik
ati2,hati-hati
atit,sakit
atu,satu
atw,atau
ayang,sayang
ayuk,ayo
babang,abang
bae,baik
bais,habis
bakalan,akan
bales,balas
bandingin,bandingkan
banget,sekali
bangett,sangat
banyakin,perbanyak
barengan,bersamaan
baryaw,sabar ya
baso,bakso
bay,selamat tinggal
bbrp,beberapa
bc,baca
bcs,bisa
bct,bicara
bdan,badan
bdg,bandung
bdn,badan
becanda,bercanda
bedua,berdua
bego,bodoh
bekel,bekal
belom,belum
belon,belum
bener,benar
bener2,benar-benar
beneran,benar
berantem,bertengkar
berenti,berhenti
besoq,besok
bete,sebal
beud,banget
bg,bagi
bgd,sangat
bget,sangat
bgini,begini
bgitu,begitu
bgks,bungkus
bgm,bagaimana
bgmn,bagaimana
bgn,bangun
bgni,begini
bgntdr,bangun tidur
bgs,bagus
bgt,sangat
bgtu,begitu
bgus,bagus
bhay,selamat tinggal
bhn,bahan
bhs,bahas
bhw,bahwa
bhy,bahaya
bisaa,bisa
bisya,bisa
biza,bisa
bj,baju
bju,baju
bk,buku
bkan,bukan
bkin,bikin
bkl,bakal
bkn,bukan
bkr,bakar
bks,bungkus
bl,beli
blajar,belajar
blg,bilang
blh,boleh
bli,beli
blik,balik
bljr,belajar
blk,balik
blkg,belakang
blkng,belakang
blkngny,belakangnya
blm,belum
bln,bulan
blng,bilang
blngn,bilang
blom,belum
bls,balas
blum,belum
bndg,bandung
bndr,bandar
bner,benar
bneran,benar
bnget,sangat
bngks,bungkus
bngng,bingung
bngt,sangat
bngun,bangun
bnr,benar
bnrbnr,benar-benar
bnrn,benar
bntar,sebentar
bntr,sebentar
bnyak,banyak
bnyk,banyak
bnykny,banyaknya
bobo,tidur
bobok,tidur
bokap,ayah
bole,boleh
boong,bohong
bosen,bosan
bpk,bapak
brani,berani
brapa,berapa
brarti,berarti
brasa,berasa
brg,barang
brgkt,berangkat
brhsl,berhasil
brjln,berjalan
brkfst,breakfast
brmslh,bermasalah
brngkt,berangkat
brp,berapa
brpa,berapa
brrti,berarti
brs,beres
brshbt,bersahabat
brsm,bersama
brthn,bertahan
brtmn,berteman
bru,baru
bs,bisa
bsa,bisa
bsk,besok
bsok,besok
bsoq,besok
bsr,besar
btg,batang
bth,butuh
btl,betul
btul,betul
buad,buat
buatin,buatkan
bucin,budak cinta
bulcit,omong kosong
bw,bawa
bwa,bawa
bwh,bawah
bwt,buat
byk,banyak
bynk,banyak
byr,bayar
cabal,sabar
cabut,pergi
caiank,sayang
cakep,cakap
cape,capai
capek,capai
catet,catat
cb,coba
cekola,sekolah
cekolah,sekolah
celalaw,selalu
celalu,selalu
cemungudh,semangat
cemungut,semangat
cemunguth,semangat
cepet,cepat
cewe,cewek
cibuq,sibuk
